index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"オープニングテーマ",60790,False,True,"","タイトル画面","Nintendo Musicセレクション|Nintendo Musicピックアップ集|Nintendo Switchセレクション","7e4ffa78-c68b-497a-9fa6-229186a1269a","https://image-assets.m.nintendo.com/82798d01-7adf-4c55-9ae0-c2741e6b8542"
2,"午前0時（晴）",156209,True,True,"晴れの日","","Nintendo Musicピックアップ集","2c586abe-3595-4a14-a6c2-8918ddd8f11b","https://image-assets.m.nintendo.com/da12e326-078d-4cac-8fa8-e493e2f6f1d7"
3,"午前1時（晴）",184422,True,True,"晴れの日","","Nintendo Musicピックアップ集","25fadce4-637f-4bdc-82f2-25898dacd5c9","https://image-assets.m.nintendo.com/01e07043-986c-4306-846b-829b4c13820b"
4,"午前2時（晴）",227233,True,True,"晴れの日","","Nintendo Musicピックアップ集","c26cc167-cc41-43b8-a2a6-85c775c978c2","https://image-assets.m.nintendo.com/17e88460-7e4e-4752-a8ae-08efb836ae89"
5,"午前3時（晴）",115483,True,True,"晴れの日","","Nintendo Musicピックアップ集","5be815dd-1813-40ee-8ade-2b8c0784cc62","https://image-assets.m.nintendo.com/00a20b15-de4d-4219-a5ee-1b740fb2c3f7"
6,"午前4時（晴）",124516,True,True,"晴れの日","","Nintendo Musicピックアップ集","3541649b-a5bd-4f99-98aa-d173a2fd2496","https://image-assets.m.nintendo.com/422dfd93-834b-4ff3-bdc6-dcc62e0f6106"
7,"午前5時（晴）",213831,True,True,"晴れの日","ほっとひと息","Nintendo Musicピックアップ集","fafefad2-878c-49bd-8bc1-07a9c69018b1","https://image-assets.m.nintendo.com/de8d450e-cbbf-40fe-bf2c-f12f441738ac"
8,"午前6時（晴）",139436,True,True,"晴れの日","","Nintendo Musicピックアップ集","8a8863c7-e204-4eba-8ad3-7281d1b5de89","https://image-assets.m.nintendo.com/d34ac5e2-dfeb-4721-bd52-648a41b01758"
9,"午前7時（晴）",175636,True,True,"晴れの日","","Nintendo Musicピックアップ集","91ad2062-eb64-43f0-9a15-c220685a82af","https://image-assets.m.nintendo.com/35da011b-64a6-43c6-8044-754926c519fa"
10,"午前8時（晴）",166441,True,True,"晴れの日","","Nintendo Musicピックアップ集","036349b0-9bbd-451e-bb59-773e08c8dba6","https://image-assets.m.nintendo.com/d88bd1c4-56db-418e-b6f9-bb38c9a07f6f"
11,"午前9時（晴）",137041,True,True,"晴れの日","","Nintendo Musicピックアップ集","6fdc45fb-a2be-4925-8f69-5759c04d7fc6","https://image-assets.m.nintendo.com/ed8cdd0d-c415-44f2-b7d9-77b00e5301bf"
12,"午前10時（晴）",154520,True,True,"晴れの日","","Nintendo Musicピックアップ集","36aceb17-8c2e-4ea0-a65e-2e6f3102134c","https://image-assets.m.nintendo.com/e961846c-755c-4b92-9543-be0a31614174"
13,"午前11時（晴）",173872,True,True,"晴れの日","","Nintendo Musicピックアップ集","b703f793-fe4e-4e48-a964-ac633ff672b5","https://image-assets.m.nintendo.com/ce9686f2-9c49-4935-8e3a-b0878b5a7c85"
14,"午後0時（晴）",156041,True,True,"晴れの日","","Nintendo Musicピックアップ集","42cd5800-8fbb-4f29-825a-4961b4a0eb75","https://image-assets.m.nintendo.com/0162acbc-1e42-4462-911b-fbad971287f5"
15,"午後1時（晴）",129254,True,True,"晴れの日","","Nintendo Musicピックアップ集","65a8bde5-f0f4-4aa4-a830-be8a4c21905b","https://image-assets.m.nintendo.com/641df16a-10df-4776-9d3e-85586e9053a1"
16,"午後2時（晴）",195555,True,True,"晴れの日","","Nintendo Musicピックアップ集","ecebd03e-09d9-4fd3-823e-a0d111a5ea86","https://image-assets.m.nintendo.com/b1440fec-c4ed-47b0-9867-b416142efa66"
17,"午後3時（晴）",130252,True,True,"晴れの日","","Nintendo Musicピックアップ集","73a094b1-69b0-4f4f-925e-a30c2e0db425","https://image-assets.m.nintendo.com/7e15c548-ce0a-47eb-9a6f-55d6d78a347b"
18,"午後4時（晴）",122181,True,True,"晴れの日","","Nintendo Musicピックアップ集","c3531dac-a815-42f3-aba6-3018df50f7e6","https://image-assets.m.nintendo.com/f0e5cc5d-2bc8-4475-aaeb-1a96cbd22fff"
19,"午後5時（晴）",215105,True,True,"晴れの日","","Nintendo Musicピックアップ集","7cf6559a-a47d-4e0c-bdae-80c47350efab","https://image-assets.m.nintendo.com/2fcf9e74-e94f-4eca-bef6-14250335c914"
20,"午後6時（晴）",126575,True,True,"晴れの日","","Nintendo Musicピックアップ集","10370e88-2cdf-48e6-9e3e-b289f029ba9d","https://image-assets.m.nintendo.com/2638fd36-1509-4073-a0b6-abbf478e32a8"
21,"午後7時（晴）",231748,True,True,"晴れの日","","Nintendo Musicピックアップ集","71e8ba80-078f-406c-9bf0-76c8dfdc243e","https://image-assets.m.nintendo.com/11010f94-ba0d-4524-80a0-ee21ffbb6733"
22,"午後8時（晴）",125784,True,True,"晴れの日","","Nintendo Musicピックアップ集","a9222c4f-65a6-4c39-9b82-14c9e8b78807","https://image-assets.m.nintendo.com/48319ecd-b1b2-4391-b8cf-2f97f30c93f8"
23,"午後9時（晴）",128381,True,True,"晴れの日","","Nintendo Musicピックアップ集","97f48946-fdb9-42e8-84d7-3777df91e293","https://image-assets.m.nintendo.com/b3a55071-9384-456c-9589-cf29eeb4c2c2"
24,"午後10時（晴）",149063,True,True,"晴れの日","","Nintendo Musicピックアップ集","6a15c3b5-0378-4eb2-bf7e-497799487d02","https://image-assets.m.nintendo.com/1fbfdacb-9356-4f9e-9148-ae7e26f00858"
25,"午後11時（晴）",161908,True,True,"晴れの日","","Nintendo Musicピックアップ集","9105e325-3b2a-4d37-849a-7ac6b42fac96","https://image-assets.m.nintendo.com/d2d87e68-9f61-4f29-bc52-a30413d110d7"
26,"午前0時（雨）",88574,True,False,"雨の日","","","2a35d331-7f62-4b1f-8d44-8a6e44e5b475","https://image-assets.m.nintendo.com/c3374b6f-0379-4154-8ac5-46a6fef8962a"
27,"午前1時（雨）",100425,True,False,"雨の日","","","a1b25d1a-c480-4cf0-a835-08f71467f756","https://image-assets.m.nintendo.com/4b31a243-30c6-48bb-ad1d-d5b573a04578"
28,"午前2時（雨）",122077,True,False,"雨の日","","","8af8dc5d-45d9-44a5-8dbd-cd4b87167de6","https://image-assets.m.nintendo.com/e5ea6187-c193-4f81-b492-21f6c6c3af25"
29,"午前3時（雨）",68209,True,False,"雨の日","","","e93fbfb5-d106-4f2e-89ae-1b2e745a0f15","https://image-assets.m.nintendo.com/ba2997ef-2455-4c34-8d20-f9b8a6b99a3b"
30,"午前4時（雨）",71082,True,False,"雨の日","","","e1a8a048-6208-4507-886a-3f41262ba908","https://image-assets.m.nintendo.com/3cdb3d55-7342-40b3-85c6-4ab8eb5115f5"
31,"午前5時（雨）",118337,True,False,"雨の日","","","f04ba7f4-c1a1-4631-a340-ae3dda2d1a84","https://image-assets.m.nintendo.com/8ca116d3-9e8c-49af-a300-6298a09ef96a"
32,"午前6時（雨）",76798,True,False,"雨の日","","","218a4754-56f2-403f-bdd1-e9a75cd6e1ff","https://image-assets.m.nintendo.com/f95c29e6-f3ad-4d15-97ef-bc98af7b5ed3"
33,"午前7時（雨）",98931,True,False,"雨の日","","","1e92ec25-a898-48bf-9879-bdc85226a515","https://image-assets.m.nintendo.com/ba82ab37-f250-4bc5-8faf-3bb2255851b2"
34,"午前8時（雨）",95587,True,False,"雨の日","","","934d8aa0-8f4f-4259-90bb-e6108f783cba","https://image-assets.m.nintendo.com/5cea47fc-7c61-4198-ab1b-8be4da63ab11"
35,"午前9時（雨）",85174,True,False,"雨の日","","","427d2f26-a9ff-47ec-9dc9-9baf70864bf6","https://image-assets.m.nintendo.com/7fee6839-059f-43ae-80ba-0c8f96ee2749"
36,"午前10時（雨）",85001,True,False,"雨の日","","","4d82a005-804d-4c26-ae09-b72d48dab551","https://image-assets.m.nintendo.com/70501c1f-cf1b-41d4-a2d9-e3400866d8b0"
37,"午前11時（雨）",94968,True,False,"雨の日","","","9eb6744b-512d-43dc-b7ad-536ef0e2c225","https://image-assets.m.nintendo.com/b883f0f0-1f67-4637-ac4c-11f2276f1471"
38,"午後0時（雨）",91203,True,False,"雨の日","","","455257f1-2028-4e60-a0be-fee39ca47dca","https://image-assets.m.nintendo.com/decd00e5-cb3a-4b4f-81a4-7e38e362cbf1"
